entity1,entity2,freq,similarity
гарри,гермиона,9371,0.70557976
гарри,драко,8603,0.61907804
гарри,рон,6571,0.58277947
гермиона,рон,4766,0.5715876
гермиона,драко,3509,0.62828076
гарри,снейп,3448,0.5892606
гарри,джинни,3383,0.5369847
драко,поттер,3328,0.55940133
гарри,северус,2715,0.56561995
гарри,малфой,1878,0.57866716
поттер,снейп,1514,0.5617548
гермиона,джинни,1497,0.61892164
джеймс,лили,1214,0.57157266
грейнджер,драко,1167,0.56666267
поттер,северус,1158,0.52772033
малфой,поттер,1046,0.61533695
гермиона,малфой,1041,0.5399335
гарри,мальчик,782,0.56706303
джинни,рон,717,0.6742717
драко,рон,683,0.59187603
гермиона,снейп,626,0.5518313
гермиона,поттер,620,0.52431023
гарри,невилл,590,0.5241643
драко,люциус,589,0.6457081
джордж,фред,545,0.69771224
директор,профессор,544,0.58348286
драко,снейп,534,0.6189414
поттер,уизли,513,0.5276936
гарри,поттер,505,0.83087975
гермиона,северус,495,0.557173
драко,панси,492,0.61684453
астория,драко,476,0.5732445
джинни,драко,475,0.57093203
грейнджер,поттер,465,0.5908132
гарри,люциус,426,0.5062221
гарри,ремус,406,0.546736
блейз,драко,396,0.6437504
грейнджер,малфой,393,0.5616572
гарри,джеймс,390,0.5690843
драко,северус,366,0.6434644
драко,уизли,309,0.5194596
гарри,грейнджер,281,0.5038866
малфой,рон,261,0.5799159
гарри,джордж,258,0.5171691
драко,забини,248,0.58522093
альбус,гарри,245,0.53028476
джордж,рон,241,0.57460326
драко,пэнси,239,0.57597125
профессор,снейп,237,0.66234255
маркус,оливер,216,0.58447015
ремус,сириус,216,0.5216942
гермиона,невилл,193,0.5157615
драко,малфой,184,0.86595243
дамблдор,директор,177,0.8097435
блэк,поттер,176,0.5201328
профессор,северус,175,0.5586742
блейз,гарри,174,0.5083337
драко,тео,157,0.67742455
северус,том,156,0.5347315
декан,директор,155,0.5007751
директор,макгонагалл,155,0.5416117
гермиона,лаванда,155,0.59362054
мальчик,поттер,154,0.51708835
макгонагалл,профессор,152,0.6060476
невилл,рон,147,0.5365339
люциус,нарцисса,146,0.5230404
рон,фред,145,0.5377042
билл,гарри,144,0.5082151
декан,профессор,138,0.5782138
гермиона,панси,131,0.621797
оливер,флинт,131,0.55503905
джинни,малфой,128,0.53543514
забини,малфой,126,0.6342689
люпин,сириус,121,0.50324416
малфой,уизли,114,0.5464449
перси,рон,107,0.5093678
драко,паркинсон,107,0.5458046
дамблдор,макгонагалл,102,0.50717884
дин,рон,99,0.54570156
гарри,тео,95,0.5387914
гермиона,паркинсон,94,0.5285298
профессор,учитель,94,0.5291109
астория,гермиона,94,0.57815456
альбус,поттер,94,0.5027398
блейз,гермиона,89,0.5690944
гарри,гарри_поттер,87,0.55032086
джинни,джордж,83,0.54921484
регулус,сириус,82,0.53878653
блейз,поттер,82,0.50082505
драко,скорпиус,78,0.60419285
билл,чарли,78,0.55349076
драко,нотт,78,0.546432
билл,рон,78,0.50063574
директор,минерва,76,0.5508296
гермиона,грейнджер,76,0.76123023
малфой,паркинсон,73,0.5999291
забини,рон,72,0.52348
лаванда,парвати,72,0.6036601
забини,поттер,72,0.5606315
люпин,тонкс,71,0.5348606
гермиона,парвати,71,0.5202389
близнец,фред,70,0.6451425
блейз,рон,70,0.5272472
гермиона,тео,70,0.58066595
альбус,директор,68,0.5005622
северус,сириус,68,0.52296233
дафна,драко,65,0.60359216
грейнджер,панси,64,0.61159104
драко,теодор,63,0.6096333
гермиона,дафна,63,0.606917
малфой,снейп,62,0.6017773
гермиона,пэнси,61,0.5900552
северус,снейп,60,0.8929317
блейз,панси,60,0.62345153
дин,симус,59,0.5127908
блэк,джеймс,58,0.5135532
рон,уизли,57,0.67294645
лили,марлин,57,0.53521013
гарри_поттер,драко_малфой,55,0.5520848
близнец,джордж,53,0.5534159
астория,дафна,51,0.6066972
рон,симус,50,0.5995367
малфой,панси,50,0.547246
гарри,теодор,50,0.5007488
бродяга,сириус,49,0.5898799
сириус,тонкс,49,0.5107667
минерва,профессор,46,0.54811865
грейнджер,забини,45,0.59241945
декан,снейп,45,0.50995135
анджелина,фред,44,0.5081892
доркас,лили,43,0.50090706
блейз,грейнджер,43,0.567099
малфой,пэнси,42,0.51684487
дафна,трейси,42,0.5156157
гарри,гриффиндорец,42,0.5637152
блейз,тео,42,0.6814567
малфой,северус,41,0.5582305
вуд,маркус,40,0.5829134
джинни,лаванда,40,0.6010207
люциус,малфой,39,0.6728206
лили,регулус,38,0.5089319
гермиона,софи,38,0.52470404
декан,макгонагалл,37,0.61765313
джеймс,поттер,37,0.5584278
блэк,сириус,36,0.7560304
парвати,рон,35,0.50467026
джеймс,марлин,35,0.50715363
забини,панси,34,0.59597635
вуд,флинт,33,0.61672837
дафна,панси,33,0.6284059
ал,джеймс,33,0.5089969
гермиона_грейнджер,драко_малфой,31,0.56104493
ойген,рабастан,30,0.50997305
декан,минерва,30,0.522067
дамблдор,старик,30,0.51227677
блейз,малфой,29,0.5891017
малфой,тео,29,0.6321494
забини,паркинсон,27,0.5972981
альбус_дамблдор,директор,27,0.5971446
драко,маркус,27,0.53179324
рабастан,родольфус,26,0.6373271
беллатрикс,нарцисса,26,0.5153249
директор,старик,26,0.5321109
забини,нотт,26,0.59278786
мальсибер,эйвери,26,0.5127897
малфой,нотт,25,0.60141397
забини,уизли,25,0.5538782
гарольд,гарри,24,0.5823505
грейнджер,паркинсон,24,0.6150835
гарри_поттер,гермиона_грейнджер,24,0.518046
астория,нарцисса,24,0.62411726
гарри,эмили,23,0.5412506
гермиона,кэти,23,0.51751184
гермиона,ульфат,22,0.6097959
гриффиндорец,поттер,22,0.60193956
драко,драко_малфой,22,0.6238694
андромеда,нарцисса,22,0.5356333
макгонагалл,флитвик,22,0.5328629
астория,панси,22,0.6452236
лили,эванс,21,0.6160809
зельевар,профессор,21,0.5304821
джинни,панси,21,0.5460403
пэнси,тео,21,0.5335982
блейз,пэнси,21,0.6038353
блэк,эванс,21,0.51245093
астория,блейз,20,0.57946587
блез,драко,20,0.5493518
билл,джордж,20,0.5261784
блейз,забини,19,0.7619277
гриффиндорец,малфой,19,0.51135314
грейнджер,пэнси,19,0.57375306
панси,тео,19,0.61002284
малфой,скорпиус,19,0.52678776
грейнджер,тео,18,0.53875595
волдеморт,том,18,0.5196214
малфой,теодор,18,0.5733755
поттер,тео,18,0.50315064
джордж,чарли,18,0.53871727
гермиона,гермиона_грейнджер,18,0.5372417
волдеморт,лорд,17,0.76244605
блейз,теодор,16,0.59027874
блейз,дафна,16,0.5833431
ал,роза,16,0.5304011
ал,скорпиус,16,0.5088347
блондин,драко,15,0.62141085
астория,пэнси,14,0.58464706
белла,рабастан,14,0.5119023
панси,теодор,14,0.5325247
дафна,тео,14,0.52251047
блэка,сириус,13,0.53341395
блэк,малфой,13,0.51548624
астория,грейнджер,13,0.5470643
лорд,повелитель,13,0.65303916
зельевар,северус,12,0.73043674
забини,пэнси,12,0.59048176
верити,джордж,12,0.51578355
рон,тео,12,0.5257661
анджелина,джинни,12,0.51588064
гринграсс,забини,12,0.5503777
сьюзен,ханна,12,0.51279616
дафна,пэнси,12,0.5848367
гойл,крэбб,12,0.5441023
альбус,дамблдор,12,0.58003134
гарри,дрейко,11,0.5273584
забини,теодор,11,0.5537359
забини,тео,11,0.5908526
кэти,оливер,11,0.507341
риддл,том,11,0.7352119
грейнджер,дафна,11,0.533957
гарри_поттер,поттер,11,0.5742929
гарри_поттер,мальчик-который-выжил,10,0.5201613
рон,рон_уизли,10,0.57047707
гарри,сиэль,10,0.5214452
гермиона,керли,10,0.5405948
блондин,малфой,10,0.63270175
дафна,забини,10,0.5457039
гарольд,поттер,10,0.50859517
зельевар,снейп,9,0.7584247
белла,лестрейндж,9,0.54776293
дафна,джинни,9,0.59073615
паркинсон,уизли,9,0.51000476
астория,тео,9,0.56106246
джинни,пэнси,9,0.5303844
люпин,ремус,9,0.7714001
северус,северус_снейп,9,0.6292974
регулус,северус,8,0.52355903
питер_петтигрю,сириус_блэк,8,0.5060761
астория,забини,8,0.5976565
дафна,паркинсон,8,0.5592786
блез,пэнси,8,0.536998
гарри,гарриет,7,0.57051057
паркинсон,тео,7,0.51528716
беллатрикс,лестрейндж,7,0.5533715
гарри,джейслин,7,0.5200174
астория,паркинсон,7,0.55598766
астория,теодор,7,0.5334629
нарцисса,панси,7,0.5046295
мастер_зелий,профессор,7,0.51580966
сириус,сириус_блэк,6,0.58591914
гойл,забини,6,0.5179846
нимфадора,тонкс,6,0.6107341
зельевар,северус_снейп,6,0.5358437
дафна,малфой,6,0.5539175
риддл,снейп,6,0.51303464
рабастан,рудольфус,6,0.5362551
ал,альбус,6,0.62588143
блэк,регулус,6,0.5024599
рональд,уизли,6,0.54340315
лили,лили_эванс,6,0.5506078
блейз,нотт,6,0.62454087
рон,рональд,6,0.6412544
рон,рыжик,6,0.5172205
декан_гриффиндора,профессор,5,0.5067072
джеймс,сохатый,5,0.53436756
драко_малфой,малфой,5,0.6534729
гарри,лоли,5,0.51341105
гойлом,забини,5,0.53027433
северус_снейп,снейп,5,0.629799
северус_снейп,северуса_снейпа,5,0.5152136
астория,гринграсс,5,0.55270433
реддл,том,5,0.71204454
блейз,трейси,5,0.50233555
профессор,снегг,5,0.53829706
блэк,бродяга,5,0.5666485
нотт,теодор,5,0.5565239
панси,паркинсон,5,0.6544074
гринграсс,дафна,4,0.53172076
макгонагалл,минерва,4,0.7434703
белла,вальбурга,4,0.51216376
лорд,лорд_волдеморт,4,0.5976079
лонгботтом,невилл,4,0.5621964
профессор,слизнорт,4,0.5406239
гари,гермиона,4,0.5123957
джеймс,джим,4,0.61797464
маркус,ол,4,0.5112054
булстроуд,забини,4,0.5123192
том,том_риддл,4,0.5312689
снейп,хокинг,4,0.55366635
директриса,макгонагалл,4,0.5385815
гринграсс,пэнси,3,0.52322996
панси,трейси,3,0.50303316
паркинсон,пэнси,3,0.6326232
помона_спраут,профессор,3,0.5242244
гораций,слизнорт,3,0.56939435
забини,финниган,3,0.502582
дафна,миллисент,3,0.5523335
дафна,теодор,3,0.53228164
милорд,повелитель,3,0.50196785
дамби,директор,3,0.5363411
лунатик,ремус,3,0.5503263
джинни,ханна,3,0.50172174
люциус_малфой,малфой,3,0.52760017
дин,забини,3,0.50160825
лорд,реддл,3,0.5269659
лорд_волдеморт,том_риддл,3,0.513649
мастер_зелий,снейп,3,0.5310156
маркус,флинт,3,0.6646234
малфой,пэнс,3,0.50706196
блэк,блэка,3,0.52306205
герми,гермиона,3,0.5292692
айк,гарри,3,0.51379025
волдеморт,том_риддл,3,0.51050663
вуд,оливер,3,0.7477757
беллатрикс,вальбурга,3,0.52302
лорд,риддл,2,0.5238724
забини,пэнс,2,0.53683764
забини,панс,2,0.5342338
лорд,лорду,2,0.50895023
лорд,милорд,2,0.57127684
драко,керли,2,0.5117041
люпин,люпина,2,0.50847614
люпина,ремус,2,0.5249548
ал,ала,2,0.51909375
профессор,снэйп,2,0.51025164
волдеморт,сами-знаете-кто,2,0.56488657
люциус,люциус_малфой,2,0.63494414
дрей,малфой,2,0.5146992
друэлла,нарцисса,2,0.5753963
блейз,скорпиус,2,0.51535356
блейз,симус,2,0.5461047
малфой,уизлетта,2,0.5037583
лаванда,лаванда_браун,2,0.54963505
блэк,сириус_блэк,2,0.61246467
блэк,римус,2,0.50855696
мастер_зелий,северус,2,0.5310266
марлин,ремус,2,0.5018871
белла,беллатрикс,2,0.7816889
джеймс,джеймс_поттер,2,0.55607474
гермиона,лоли,2,0.5042419
гермиона_грейнджер,грейнджер,2,0.5260416
гермиона,эни,2,0.5129558
руди,рудольфус,2,0.5171182
гермиона,миона,2,0.5036727
гермиона,николь,2,0.54235536
гермиона,сэль,2,0.5119355
гермиона,ромильда,2,0.53191364
гермиона,сиэль,2,0.5007135
гарри,хокинг,2,0.5047799
диппет,директор,2,0.53510505
директор,директриса,2,0.5720805
рем,ремус,2,0.63540554
гарри,майю,2,0.51704806
миссис_блэк,нарцисса,1,0.53072155
астория,астория_гринграсс,1,0.51818895
астория,блез,1,0.52146196
макгонагалл,минерва_макгонагалл,1,0.543373
малфой,сиэль,1,0.50051016
макгонагалл,хокинг,1,0.51326406
маккиннон,эванс,1,0.50854504
люц,люциус,1,0.5200529
беллатрикс,миссис_блэк,1,0.5112256
марлин,рем,1,0.5050079
марк,маркус,1,0.56782174
маркус,скорпиус,1,0.52482384
филиус_флитвик,флитвик,1,0.52636665
мальсибер,рабастан,1,0.5418389
уизел,уизли,1,0.57016563
альбус_дамблдор,дамблдор,1,0.6418711
альбус_дамблдор,альбусом_дамблдором,1,0.50104105
панс,панси,1,0.50588804
рон_уизли,уизли,1,0.529582
пэнси,трейси,1,0.5378204
сири,сириус,1,0.5162629
нотт,тео,1,0.5947547
нарцисса,нарцисса_малфой,1,0.5244258
скорпи,скорпиус,1,0.51650375
нарцисса,цисси,1,0.54106367
северус,скорпиус,1,0.5486821
волан-де-морт,волдеморт,1,0.7182981
дорея,нарцисса,1,0.50906265
волдеморт,риддл,1,0.5822962
джин,джинни,1,0.566682
джинни,мэйбл,1,0.5207096
дину,малфой,1,0.5183538
джордж,джордж_уизли,1,0.5043411
драко_малфой,северус_снейп,1,0.5120686
драко_малфой,люциус_малфой,1,0.54838
гермиона,хендрик,1,0.51468706
вуд,ол,1,0.5432807
декан_гриффиндора,макгонагалл,1,0.5426018
гарри,эни,1,0.5251256
гарри,ноа,1,0.500101
гарри,керли,1,0.50703853
гарри,рюу,1,0.5046094
гарри,геланор,1,0.51517737
гари,поттер,1,0.5262548
люпин,римус,1,0.6427026
люпин,рем,1,0.5885142
лорд_малфой,люциус,1,0.5253033
блейз_забини,драко_малфой,1,0.5254486
блейза,забини,1,0.5679759
близнец,близнец_уизли,1,0.55353385
блез,забини,1,0.5632867
блез,малфой,1,0.51746327
блез,миллисент,1,0.502545
блез,теодор,1,0.53531456
блез,паркинсон,1,0.51036435
блез,панси,1,0.57823205
лестрейндж,родольфус,1,0.5170106
лестрейндж,рабастан,1,0.5355476
вальбурга,миссис_блэк,1,0.5756422
керли,рон,1,0.52334857
вальбурга,дорея,1,0.56314254
булстроуд,грейнджер,1,0.5185473
